Name,Project,Arrangement,Organization,Theme,Year,Periodicity,Requested,Delivered,Established
,MBO Scholenbeurs 2 jarig,Subsidieregeling Amsterdamse Scholenbeurs mbo,"Onderwijs, Jeugd en Zorg",Onderwijs,2017,Eenmalig,€ 37.500,€ 37.500,
Papia Podia,Aanpak Statushouders,Subsidieregeling Programma Aanpak Statushouders 2016-2018,Werk,Werk,2017,Eenmalig,€ 49.909,€ 0,€ 0
(Particulier),Opr,Subsidieregeling Burgerschap en Diversiteit,"Onderwijs, Jeugd en Zorg",Participatie,2017,Eenmalig,€ 25.000,€ 0,€ 0
(Particulier),Expositie,Eenmalige Initiatieven SD Centrum,stadsdeel Centrum,Algemeen,2017,Eenmalig,€ 1.400,€ 0,€ 0
(Particulier),Robotica en Programmeren Materialen,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 480,€ 0,€ 0
(Particulier),A.V.O.  Klaverjasvereniging,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 700,€ 700,€ 700
(Particulier),organiseren 21 lunchconcerten,Subsidieregeling Bewonersinitiatieven,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 3.000,€ 3.000,€ 3.000
(Particulier),Voor een tijdelijk kunstproject Zuidas,"Subsidieregeling gebiedsgebonden kunst- en cultuuractiviteiten, eenmalige (tijdelijke) kunstinitiati",stadsdeel Zuid,Cultuur,2017,Eenmalig,€ 9.000,€ 0,€ 0
(Particulier),voor klaverjasclub Animo,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 750,€ 250,€ 250
(Particulier),Bridgeclub,Subsidieregeling Bewonersinitiatieven,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 1.320,€ 1.320,€ 1.320
(Particulier),Red sculpture-beeldende kunstproject-zeepkist-speakerscorner,"Subsidieregeling gebiedsgebonden kunst- en cultuuractiviteiten, eenmalige (tijdelijke) kunstinitiati",stadsdeel Zuid,Cultuur,2017,Eenmalig,€ 9.960,€ 0,€ 0
(Particulier),Buurtfeest Beemsterstraat dichter bij elkaar,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 1.020,€ 1.020,€ 1.020
(Particulier),Buurtmooimakers,Nadere regels subsidies versterking bewonersparticipatie stadsdeel Zuidoost 2013,stadsdeel Zuidoost,Participatie,2017,Eenmalig,€ 3.700,€ 3.700,€ 3.700
(Particulier),Contactbijeenkomsten Visueel Gehandicapten,"Basisvoorziening activering, participatie en sociale accommodaties (SD West)",stadsdeel West,Welzijn en Zorg,2017,Periodiek,€ 2.850,€ 2.850,€ 2.850
(Particulier),Midzomerfestival Schellingwoude 16e editie,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 2.500,€ 1.200,€ 1.200
(Particulier),Werkgroep Vluchtelingen Rivierenbuuurt,"Basisvoorziening activering, participatie en sociale accommodaties (SD Zuid)",stadsdeel Zuid,Welzijn en Zorg,2017,Periodiek,€ 2.500,€ 2.250,€ 2.250
(Particulier),Eetkookclub OASE 2017,"Basisvoorziening activering, participatie en sociale accommodaties (SD Oost)",stadsdeel Oost,Welzijn en Zorg,2017,Periodiek,€ 1.620,€ 702,€ 702
(Particulier),Thuistaal,"Basisvoorziening activering, participatie en sociale accommodaties (SD Oost)",stadsdeel Oost,Welzijn en Zorg,2017,Periodiek,€ 2.000,€ 1.920,€ 1.920
(Particulier),oprichting RepairCafé Jeruzalem,"Basisvoorziening activering, participatie en sociale accommodaties (SD Oost)",stadsdeel Oost,Welzijn en Zorg,2017,Periodiek,€ 4.935,€ 4.535,€ 4.535
(Particulier),fotoproject Earth and Temples + Het Nopmadisch Museum,"Subsidieregeling gebiedsgebonden kunst- en cultuuractiviteiten, eenmalige (tijdelijke) kunstinitiati",stadsdeel Zuid,Cultuur,2017,Eenmalig,€ 12.500,€ 0,€ 0
(Particulier),Gratis loopbaanspreekuur,"Basisvoorziening activering, participatie en sociale accommodaties (SD Zuid)",stadsdeel Zuid,Welzijn en Zorg,2017,Periodiek,€ 14.878,€ 0,€ 0
(Particulier),Sociale activiteiten voor vrouwen en kinderen,"Basisvoorziening activering, participatie en sociale accommodaties (SD Oost)",stadsdeel Oost,Welzijn en Zorg,2017,Periodiek,€ 5.000,€ 5.000,€ 5.000
(Particulier),Alle Kleuren Oost 2017,"Basisvoorziening activering, participatie en sociale accommodaties (SD Oost)",stadsdeel Oost,Welzijn en Zorg,2017,Periodiek,€ 15.000,€ 15.000,
(Particulier),Continuïteit laagdrempelig sporten voor de buurt,"Basisvoorziening activering, participatie en sociale accommodaties (SD Zuidoost)",stadsdeel Zuidoost,Welzijn en Zorg,2017,Eenmalig,€ 20.380,€ 0,€ 0
(Particulier),Vrouwen stimuleren zelfstandig te zijn,"Basisvoorziening activering, participatie en sociale accommodaties (SD Oost)",stadsdeel Oost,Welzijn en Zorg,2017,Periodiek,€ 75.696,€ 12.780,
(Particulier),Tijdelijk mobiel kunstwerk openbare ruimte,"Subsidieregeling gebiedsgebonden kunst- en cultuuractiviteiten, eenmalige (tijdelijke) kunstinitiati",stadsdeel Zuid,Cultuur,2017,Eenmalig,€ 10.000,€ 0,€ 0
(Particulier),Artist in residence Orangerie Amstelpark,Subsidie tijdelijk kunstprojecten,stadsdeel Zuid,Cultuur,2017,Eenmalig,€ 9.832,€ 0,€ 0
(Particulier),"Verfraaiing openbare ruimte, muurschildering Zuidplein","Subsidieregeling gebiedsgebonden kunst- en cultuuractiviteiten, eenmalige (tijdelijke) kunstinitiati",stadsdeel Zuid,Cultuur,2017,Eenmalig,€ 9.300,€ 0,€ 0
(Particulier),gratis loopbaan spreekuur,"Basisvoorziening activering, participatie en sociale accommodaties (SD Zuid)",stadsdeel Zuid,Welzijn en Zorg,2017,Periodiek,€ 14.878,€ 0,€ 0
(Particulier),Gratis loopbaanspreekuur,"Basisvoorziening activering, participatie en sociale accommodaties (SD Zuid)",stadsdeel Zuid,Welzijn en Zorg,2017,Periodiek,€ 14.878,€ 0,€ 0
(Particulier),Bewonersdag IJburg 2017,Subsidieregeling Bewonersinitiatieven,stadsdeel Oost,Participatie,2017,Eenmalig,€ 1.500,€ 1.500,€ 1.500
(Particulier),Een miss verkiezing op basis van kennis,"Basisvoorziening activering, participatie en sociale accommodaties (SD Zuidoost)",stadsdeel Zuidoost,Welzijn en Zorg,2017,Eenmalig,€ 4.163,€ 0,€ 0
(Particulier),Sportactiviteiten,Subsidieregeling bewonersinitiatieven Stadsdeel Zuidoost,stadsdeel Zuidoost,Welzijn en Zorg,2017,Eenmalig,€ 8.600,€ 0,€ 0
(Particulier),Spring Performance Festival (SPF17),"Subsidieregeling gebiedsgebonden kunst- en cultuuractiviteiten, eenmalige (tijdelijke) kunstinitiati",stadsdeel Zuid,Cultuur,2017,Eenmalig,€ 10.310,€ 10.310,€ 10.310
(Particulier),Gratis loopbaanspreekuur Huis van de Wijk Rijnstraat,"Basisvoorziening activering, participatie en sociale accommodaties (SD Zuid)",stadsdeel Zuid,Welzijn en Zorg,2017,Periodiek,€ 14.878,€ 0,€ 0
(Particulier),Bewegings- en stimuleringsprogramma voor vrouwen met obesitas ter bevordering van zelfredzaamheid,"Basisvoorziening activering, participatie en sociale accommodaties (SD Nieuw-West)",stadsdeel Nieuw-West,Welzijn en Zorg,2017,Periodiek,€ 26.000,€ 0,€ 0
(Particulier),JUBILEUMSOFA,"Subsidieregeling gebiedsgebonden kunst- en cultuuractiviteiten, eenmalige (tijdelijke) kunstinitiati",stadsdeel Zuid,Cultuur,2017,Eenmalig,€ 5.000,€ 0,€ 0
